,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0285,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV0286,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Chitinophaga
ASV0287,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV0288,Bacteria; Myxococcota; Polyangia; Polyangiales; Phaselicystidaceae; Phaselicystis
ASV0291,Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; uncultured
ASV0292,Bacteria; Nitrospirota; BMS9AB35; o; f; g
ASV0293,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter
ASV0294,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0295,Bacteria; WS1; c; o; f; g
ASV0296,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV0297,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodomicrobiaceae; Rhodomicrobium
ASV0298,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Aminobacter
ASV0299,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0300,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV0301,Bacteria; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
ASV0302,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Lacibacter
ASV0303,Bacteria; Desulfobacterota; Desulfobacteria; Desulfatiglandales; Desulfatiglandaceae; Desulfatiglans
ASV0304,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0305,Bacteria; Sumerlaeota; Sumerlaeia; Sumerlaeales; Sumerlaeaceae; Sumerlaea
ASV0306,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Ferribacterium
ASV0307,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0308,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV0309,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0310,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0311,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV0312,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0313,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; uncultured
ASV0314,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0315,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV0316,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Steroidobacter
ASV0317,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0318,Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira
ASV0319,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0320,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0321,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; 966_1
ASV0322,Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Papillibacter
ASV0323,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
ASV0324,Bacteria; Proteobacteria; Alphaproteobacteria; Dongiales; Dongiaceae; Dongia
ASV0325,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0326,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0328,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0329,Bacteria; Firmicutes; uncultured; o; f; g
ASV0330,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Brassicibacter; g
ASV0331,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02
ASV0332,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
ASV0333,Bacteria; MBNT15; c; o; f; g
ASV0334,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV0335,Bacteria; Firmicutes; Clostridia; Thermincolales; Thermincolaceae; Thermincola
ASV0336,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0337,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV0339,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV0340,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfofarcimen
ASV0341,Bacteria; Proteobacteria; Gammaproteobacteria; CCD24; f; g
ASV0342,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV0344,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV0345,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0346,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV0347,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0348,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; Sporomusaceae; Anaerospora
ASV0349,Bacteria; Firmicutes; Limnochordia; Limnochordales; uncultured; g
ASV0351,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0352,Bacteria; Firmicutes; BRH_c20a; o; f; g
ASV0353,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV0354,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Herminiimonas
ASV0355,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhizobacter
ASV0356,Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria_Incertae_Sedis; Unknown_Family; g
ASV0357,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV0358,Bacteria; Firmicutes; Bacilli; Izemoplasmatales; f; g
ASV0359,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Anaerovoracaceae; Anaerovorax
ASV0360,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV0361,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; uncultured; g
ASV0362,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0363,Bacteria; Proteobacteria; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; Sulfurifustis
ASV0364,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV0365,Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; PHOS_HE36; g
ASV0366,Bacteria; Proteobacteria; Gammaproteobacteria; MBMPE27; f; g
ASV0367,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0368,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Peptostreptococcaceae; Sporacetigenium
ASV0369,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Azoarcus
ASV0370,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; JGI_0001001_H03
ASV0371,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV0372,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rubrivivax
ASV0373,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Magnetospirillaceae; g
ASV0374,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured
ASV0375,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV0376,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; KF_JG30_B3; g
ASV0377,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; Aquicella
ASV0378,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV0379,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV0380,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; Myxococcus
ASV0381,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
ASV0382,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; HN_HF0106
ASV0383,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0384,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV0385,Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; f; g
ASV0386,Archaea; Halobacterota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoculleus
ASV0387,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0388,Bacteria; Bacteroidota; Kryptonia; Kryptoniales; BSV26; g
ASV0389,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter
ASV0390,Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; uncultured; g
ASV0391,Bacteria; Firmicutes; Moorellia; Desulfitibacterales; Desulfitibacteraceae; Desulfitibacter
ASV0392,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0393,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; GOUTA6
ASV0394,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; RBG_16_58_14
ASV0395,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Anaerovoracaceae; Anaerovorax
ASV0396,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV0397,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0398,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0399,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
ASV0400,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0401,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0402,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0403,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured
ASV0404,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0405,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; g
ASV0406,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Aetherobacter
ASV0407,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV0408,Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia
ASV0409,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0410,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; g
ASV0411,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0412,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0413,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0414,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0415,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0416,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0417,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV0418,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0419,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0420,Bacteria; Acidobacteriota; Subgroup_21; o; f; g
ASV0421,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0422,Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; uncultured; g
ASV0423,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0426,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0427,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0428,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Ornatilinea
ASV0429,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV0430,Bacteria; RCP2_54; c; o; f; g
ASV0431,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Bosea
ASV0432,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Proteiniboraceae; Proteiniborus
ASV0433,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0434,Bacteria; WPS_2; c; o; f; g
ASV0435,Bacteria; Proteobacteria; Gammaproteobacteria; PLTA13; f; g
ASV0436,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV0437,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; uncultured
ASV0438,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV0439,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0440,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0441,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Candidatus_Dichloromethanomonas
ASV0442,Bacteria; Desulfobacterota; Syntrophia; Syntrophales; Syntrophaceae; Syntrophus
ASV0443,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV0444,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV0445,Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; g
ASV0446,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
ASV0447,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0448,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Labraceae; Labrys
ASV0449,Bacteria; Desulfobacterota; Syntrophia; Syntrophales; uncultured; g
ASV0450,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0451,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0452,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Noviherbaspirillum
ASV0453,Bacteria; Firmicutes; Incertae_Sedis; DTU014; f; g
ASV0455,Bacteria; Planctomycetota; Phycisphaerae; MSBL9; SG8_4; g
ASV0456,Bacteria; Firmicutes; Moorellia; NRB23; f; g
ASV0458,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Anaerobacterium
ASV0459,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1
ASV0460,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Aminobacter
ASV0461,Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans
ASV0462,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV0463,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV0464,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0465,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Pseudaminobacter
ASV0466,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0467,Archaea; Halobacterota; Methanosarcinia; Methanosarciniales; Methanosarcinaceae; Methanosarcina
ASV0468,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
ASV0469,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV0470,Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Gemmata
ASV0471,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
ASV0472,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0473,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV0474,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV0475,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0476,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
ASV0477,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0478,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV0479,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; uncultured
ASV0480,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV0481,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV0482,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
ASV0483,Bacteria; Firmicutes; Clostridia; Peptococcales; Peptococcaceae; uncultured
ASV0484,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV0485,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0486,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Sulfuritalea
ASV0487,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV0488,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV0489,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; uncultured
ASV0490,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; uncultured
ASV0491,Bacteria; Zixibacteria; c; o; f; g
ASV0492,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0493,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0494,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV0495,Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Singulisphaera
ASV0496,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax
ASV0497,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
ASV0498,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0500,Bacteria; Acidobacteriota; Subgroup_5; o; f; g
ASV0501,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0502,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; HN_HF0106
ASV0503,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0504,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0505,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
ASV0506,Bacteria; Dependentiae; Babeliae; Babeliales; Babeliaceae; g
ASV0507,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfofarcimen
ASV0508,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfofarcimen
ASV0509,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; uncultured
ASV0510,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium
ASV0511,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0512,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV0513,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Sutterellaceae; uncultured
ASV0514,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; A0839; g
ASV0516,Bacteria; Firmicutes; Dethiobacteria; Dethiobacterales; Dethiobacteraceae; Dethiobacter
ASV0517,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Methylophilaceae; MM2
ASV0518,Bacteria; Bacteroidota; Ignavibacteria; SJA_28; f; g
ASV0519,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Hyphomonadaceae; uncultured
ASV0520,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; uncultured
ASV0521,Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; f; g
ASV0522,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; UCG_012
ASV0523,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0524,Bacteria; Planctomycetota; BD7_11; o; f; g
ASV0525,Bacteria; Desulfobacterota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
ASV0526,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0527,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; SB_5; g
ASV0528,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; JGI_0001001_H03
ASV0529,Bacteria; Patescibacteria; WWE3; o; f; g
ASV0530,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; uncultured
ASV0531,Bacteria; Myxococcota; Polyangia; Polyangiales; BIrii41; g
ASV0532,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV0533,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Bauldia
